                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.53654,                0.81811,                0.35688,                0.90705,                0.99203,                0.99136,                0.99479,                0.92427,                0.99164,                0.99068,                0.99461,                0.82916,                0.37883,                0.54694,                 0.2497,                0.86437,               0.007294,               0.007294,               0.007294
                     84,                0.53721,                0.82587,                0.35702,                0.91218,                0.99401,                0.99106,                0.99485,                0.92619,                0.99272,                 0.9897,                0.99459,                0.83105,                 0.3764,                0.55045,                0.24705,                0.86569,               0.007261,               0.007261,               0.007261
                     85,                0.53588,                0.82146,                0.35504,                0.91089,                0.99552,                0.99253,                0.99486,                0.92565,                0.99479,                0.99048,                0.99464,                0.83208,                0.37329,                0.55046,                0.24599,                0.86415,               0.007228,               0.007228,               0.007228
                     86,                0.53286,                0.81825,                0.35265,                0.91027,                0.99525,                0.99281,                0.99478,                0.92317,                0.99448,                0.99203,                0.99477,                0.82695,                0.37307,                 0.5435,                0.24719,                0.86391,               0.007195,               0.007195,               0.007195
                     87,                0.53423,                0.81682,                0.35157,                0.91179,                0.99521,                0.99223,                 0.9948,                0.92512,                0.99352,                0.99048,                0.99467,                0.82932,                 0.3776,                0.54644,                0.25227,                0.86184,               0.007162,               0.007162,               0.007162
                     88,                 0.5288,                0.80445,                0.35202,                0.90707,                0.99357,                0.99141,                0.99484,                0.92663,                0.99258,                0.98807,                 0.9947,                0.83012,                0.36912,                0.53949,                0.24803,                 0.8595,               0.007129,               0.007129,               0.007129
                     89,                0.53376,                0.82175,                0.35224,                0.90985,                0.99455,                0.99242,                0.99483,                0.92726,                0.99267,                0.99048,                0.99464,                0.83252,                0.36808,                0.54073,                0.24443,                0.85875,               0.007096,               0.007096,               0.007096
                     90,                 0.5279,                0.80478,                0.35016,                0.90948,                0.99571,                 0.9921,                0.99484,                0.92794,                0.99476,                0.99067,                0.99482,                 0.8314,                0.37215,                0.53946,                0.24528,                 0.8637,               0.007063,               0.007063,               0.007063
                     91,                0.53215,                0.81621,                0.35131,                 0.9095,                0.99606,                0.99184,                0.99476,                0.92648,                0.99488,                0.99067,                0.99466,                 0.8297,                0.36891,                0.54005,                0.24263,                 0.8628,                0.00703,                0.00703,                0.00703
                     92,                0.53018,                0.81828,                0.34889,                0.90776,                0.99507,                0.99242,                0.99476,                0.92894,                0.99377,                0.99142,                0.99465,                0.83182,                0.36621,                0.53198,                0.24127,                0.85969,               0.006997,               0.006997,               0.006997
